nom fichier gif;diamètre du puit (µm);diamètre de la buse (µm);shift buse en x (µm);Viscosité de l'encre (Pa.s)
gif_a1.gif;800;200;0;1,5
gif_a2.gif;800;250;0;1,5
gif_a3.gif;800;300;0;1,5
gif_a4.gif;800;200;-75;1,5
gif_a5.gif;800;250;-75;1,5
gif_a6.gif;800;300;-75;1,5
gif_a7.gif;800;200;-150;1,5
gif_a8.gif;800;250;-150;1,5
gif_a9.gif;800;300;-150;1,5
gif_a10.gif;1000;200;0;1,5
gif_a11.gif;1000;250;0;1,5
gif_a12.gif;1000;300;0;1,5
gif_a13.gif;1000;200;-75;1,5
gif_a14.gif;1000;250;-75;1,5
gif_a15.gif;1000;300;-75;1,5
gif_a16.gif;1000;200;-150;1,5
gif_a17.gif;1000;250;-150;1,5
gif_a18.gif;1000;300;-150;1,5
gif_a19.gif;1500;200;0;1,5
gif_a20.gif;1500;250;0;1,5
gif_a21.gif;1500;300;0;1,5
gif_a22.gif;1500;200;-75;1,5
gif_a23.gif;1500;250;-75;1,5
gif_a24.gif;1500;300;-75;1,5
gif_a25.gif;1500;200;-150;1,5
gif_a26.gif;1500;250;-150;1,5
gif_a27.gif;1500;300;-150;1,5
gif_b1.gif;800;200;0;5
gif_b2.gif;800;250;0;5
gif_b3.gif;800;300;0;5
gif_b4.gif;800;200;-75;5
gif_b5.gif;800;250;-75;5
gif_b6.gif;800;300;-75;5
gif_b7.gif;800;200;-150;5
gif_b8.gif;800;250;-150;5
gif_b9.gif;800;300;-150;5
gif_b10.gif;1000;200;0;5
gif_b11.gif;1000;250;0;5
gif_b12.gif;1000;300;0;5
gif_b13.gif;1000;200;-75;5
gif_b14.gif;1000;250;-75;5
gif_b15.gif;1000;300;-75;5
gif_b16.gif;1000;200;-150;5
gif_b17.gif;1000;250;-150;5
gif_b18.gif;1000;300;-150;5
